Fecha,FuenteIngreso,cantidad
30/04/19                      ,MovilSE                                                                                             ,         30
30/04/19                      ,PortalGZ                                                                                            ,          1
30/04/19                      ,UB                                                                                                  ,          6
30/04/18                      ,MovilSE                                                                                             ,         59
30/04/18                      ,UB                                                                                                  ,          3
30/04/18                      ,PortalGZ                                                                                            ,          7
30/03/20                      ,UB                                                                                                  ,          1
30/03/19                      ,UB                                                                                                  ,          3
30/03/19                      ,MovilSE                                                                                             ,          3
30/01/20                      ,MovilGZ                                                                                             ,          2
30/01/20                      ,MovilSE                                                                                             ,          8
30/01/19                      ,MovilGZ                                                                                             ,          7
30/01/19                      ,MovilSE                                                                                             ,         15
30/01/19                      ,UB                                                                                                  ,          2
30/01/18                      ,MovilSE                                                                                             ,          9
29/12/18                      ,MovilGZ                                                                                             ,          2
29/12/18                      ,MovilSE                                                                                             ,          9
29/12/18                      ,PortalGZ                                                                                            ,          1
29/11/20                      ,MovilSE                                                                                             ,          8
29/11/20                      ,UB                                                                                                  ,          2
29/11/19                      ,MovilGZ                                                                                             ,          4
29/11/19                      ,MovilSE                                                                                             ,          3
29/11/19                      ,MovilSE                                                                                             ,         22
29/11/19                      ,UB                                                                                                  ,          4
29/11/18                      ,MovilSE                                                                                             ,         23
29/11/18                      ,UB                                                                                                  ,          1
29/11/18                      ,MovilGZ                                                                                             ,          5
29/10/20                      ,MovilGZ                                                                                             ,          7
29/10/20                      ,UB                                                                                                  ,         11
29/10/20                      ,MovilSE                                                                                             ,         15
29/10/19                      ,MovilGZ                                                                                             ,          3
29/10/19                      ,MovilSE                                                                                             ,         12
29/10/19                      ,UB                                                                                                  ,          4
29/10/19                      ,PortalGZ                                                                                            ,          1
29/10/18                      ,MovilGZ                                                                                             ,          9
29/10/18                      ,PortalGZ                                                                                            ,          8
29/10/18                      ,UB                                                                                                  ,          2
29/10/18                      ,MovilSE                                                                                             ,         75
29/09/20                      ,UB                                                                                                  ,          8
29/09/20                      ,MovilGZ                                                                                             ,          7
29/09/20                      ,MovilSE                                                                                             ,         11
29/09/20                      ,UB                                                                                                  ,          4
29/09/18                      ,MovilSE                                                                                             ,          9
29/08/20                      ,UB                                                                                                  ,          2
29/08/19                      ,MovilGZ                                                                                             ,          6
29/08/19                      ,MovilSE                                                                                             ,         25
29/08/19                      ,PortalGZ                                                                                            ,          1
29/08/19                      ,UB                                                                                                  ,          2
29/08/18                      ,MovilSE                                                                                             ,         41
29/08/18                      ,UB                                                                                                  ,          4
29/08/18                      ,MovilGZ                                                                                             ,          9
29/08/18                      ,PortalGZ                                                                                            ,          6
29/07/20                      ,UB                                                                                                  ,          2
29/07/20                      ,UB                                                                                                  ,         13
29/07/20                      ,MovilGZ                                                                                             ,          1
29/07/20                      ,MovilSE                                                                                             ,          6
29/07/19                      ,MovilSE                                                                                             ,         45
29/07/19                      ,MovilGZ                                                                                             ,         13
29/07/19                      ,UB                                                                                                  ,          4
29/07/18                      ,MovilSE                                                                                             ,          5
29/06/20                      ,MovilGZ                                                                                             ,         10
29/06/20                      ,MovilSE                                                                                             ,          3
29/06/20                      ,PortalGZ                                                                                            ,          1
29/06/20                      ,PortalGZ                                                                                            ,          4
29/06/20                      ,MovilSE                                                                                             ,         10
29/06/20                      ,UB                                                                                                  ,          1
29/06/20                      ,UB                                                                                                  ,         22
29/06/19                      ,MovilGZ                                                                                             ,          1
29/06/19                      ,MovilSE                                                                                             ,          5
29/06/18                      ,MovilGZ                                                                                             ,          2
29/06/18                      ,PortalGZ                                                                                            ,          7
29/06/18                      ,MovilSE                                                                                             ,         47
29/06/18                      ,UB                                                                                                  ,          6
29/05/20                      ,MovilSE                                                                                             ,          3
29/05/20                      ,UB                                                                                                  ,         15
29/05/19                      ,MovilSE                                                                                             ,         38
29/05/19                      ,PortalGZ                                                                                            ,          1
29/05/19                      ,UB                                                                                                  ,          6
29/05/19                      ,MovilGZ                                                                                             ,          8
29/05/18                      ,MovilSE                                                                                             ,         16
29/05/18                      ,PortalGZ                                                                                            ,          1
29/05/18                      ,UB                                                                                                  ,          2
29/04/20                      ,MovilSE                                                                                             ,          1
29/04/20                      ,UB                                                                                                  ,          1
29/04/20                      ,UB                                                                                                  ,          9
29/04/19                      ,MovilGZ                                                                                             ,         15
29/04/19                      ,MovilSE                                                                                             ,         61
29/04/19                      ,PortalGZ                                                                                            ,          1
29/04/19                      ,UB                                                                                                  ,          3
29/04/19                      ,UB                                                                                                  ,          8
29/04/18                      ,UB                                                                                                  ,          1
29/03/19                      ,MovilGZ                                                                                             ,          1
29/03/19                      ,MovilSE                                                                                             ,         29
29/03/19                      ,PortalGZ                                                                                            ,          1
29/03/18                      ,MovilSE                                                                                             ,          4
29/02/20                      ,MovilGZ                                                                                             ,          2
29/02/20                      ,MovilSE                                                                                             ,          1
29/02/20                      ,UB                                                                                                  ,          2
29/01/20                      ,MovilGZ                                                                                             ,          5
29/01/20                      ,MovilSE                                                                                             ,         23
29/01/20                      ,PortalGZ                                                                                            ,          2
29/01/20                      ,UB                                                                                                  ,          2
29/01/19                      ,MovilGZ                                                                                             ,          8
29/01/19                      ,MovilSE                                                                                             ,         25
29/01/19                      ,PortalGZ                                                                                            ,          2
29/01/18                      ,PortalGZ                                                                                            ,          6
29/01/18                      ,MovilSE                                                                                             ,         28
28/12/19                      ,MovilSE                                                                                             ,          2
28/12/19                      ,UB                                                                                                  ,          2
28/12/19                      ,PortalGZ                                                                                            ,          3
28/12/18                      ,MovilGZ                                                                                             ,         11
28/12/18                      ,MovilSE                                                                                             ,         37
28/12/18                      ,PortalGZ                                                                                            ,          4
28/12/18                      ,UB                                                                                                  ,          2
28/11/20                      ,UB                                                                                                  ,          6
28/11/20                      ,MovilGZ                                                                                             ,          5
