"","FechaConsultora","FuenteIngreso","cantidad","Pais"
"296","08/03/19","CALL CENTER",2,"Perú"
"297","25/05/19","UB",12,"Perú"
"298","23/12/19","MovilSE",274,"Perú"
"299","28/01/19","MovilSE",592,"Perú"
"300","07/02/19","MovilSE",422,"Perú"
"301","27/08/19","MovilGZ",20,"Perú"
"302","09/01/19","UB",33,"Perú"
"303","26/05/19","UB",7,"Perú"
"304","22/06/19","MovilGZ",1,"Perú"
"305","16/10/19","MovilGZ",12,"Perú"
"306","05/11/19","CALL CENTER",4,"Perú"
"307","01/10/19","PortalGZ",3,"Perú"
"308","18/01/19","PortalGZ",2,"Perú"
"309","08/11/19","MovilGZ",14,"Perú"
"310","07/11/19","MovilGZ",15,"Perú"
"311","30/04/19","PortalGZ",3,"Perú"
"312","16/12/19","CALL CENTER",1,"Perú"
"313","26/04/19","PortalGZ",7,"Perú"
"314","05/06/19","PortalGZ",6,"Perú"
"315","22/09/19","UB",3,"Perú"
"316","23/03/19","MovilSE",41,"Perú"
"317","18/01/19","MovilGZ",12,"Perú"
"318","24/05/19","CALL CENTER",2,"Perú"
"319","12/02/19","MovilSE",443,"Perú"
"320","15/01/19","CALL CENTER",2,"Perú"
"321","14/03/19","MovilGZ",17,"Perú"
"322","27/12/19","MovilSE",441,"Perú"
"323","01/07/19","MovilSE",494,"Perú"
"324","15/07/19","MovilGZ",22,"Perú"
"325","18/12/19","MovilSE",317,"Perú"
"326","02/10/19","CALL CENTER",1,"Perú"
"327","21/04/19","MovilSE",39,"Perú"
"328","17/12/19","MovilGZ",28,"Perú"
"329","08/03/19","MovilGZ",10,"Perú"
"330","24/06/19","MovilSE",647,"Perú"
"331","05/09/19","CALL CENTER",1,"Perú"
"332","16/03/19","UB",17,"Perú"
"333","08/01/19","UB",34,"Perú"
"334","15/10/19","CALL CENTER",2,"Perú"
"335","17/06/19","MovilSE",602,"Perú"
"336","10/01/19","UB",33,"Perú"
"337","11/10/19","MovilGZ",22,"Perú"
"338","27/02/19","PortalGZ",6,"Perú"
"339","06/03/19","MovilGZ",14,"Perú"
"340","03/03/19","CALL CENTER",1,"Perú"
"341","03/06/19","MovilGZ",26,"Perú"
"342","07/03/19","UB",43,"Perú"
"343","25/05/19","MovilSE",57,"Perú"
"344","25/10/19","CALL CENTER",1,"Perú"
"345","26/10/19","CALL CENTER",1,"Perú"
"346","26/09/19","MovilSE",314,"Perú"
"347","04/09/19","UB",38,"Perú"
"348","04/09/19","CALL CENTER",3,"Perú"
"349","22/02/19","MovilSE",377,"Perú"
"350","23/12/19","MovilGZ",9,"Perú"
"351","26/07/19","MovilSE",208,"Perú"
"352","05/06/19","MovilSE",561,"Perú"
"353","20/09/19","UB",15,"Perú"
"354","31/07/19","MovilSE",605,"Perú"
"355","01/07/19","PortalGZ",1,"Perú"
"356","05/11/19","UB",34,"Perú"
"357","19/11/19","MovilSE",398,"Perú"
"358","26/01/19","UB",19,"Perú"
"359","30/04/19","UB",35,"Perú"
"360","30/10/19","PortalGZ",4,"Perú"
"361","25/10/19","PortalGZ",1,"Perú"
"362","20/11/19","PortalGZ",1,"Perú"
"363","24/09/19","MovilGZ",42,"Perú"
"364","03/10/19","MovilGZ",25,"Perú"
"365","15/01/19","MovilGZ",2,"Perú"
"366","16/01/20","UB",2,"Perú"
"367","14/11/19","PortalGZ",2,"Perú"
"368","16/09/19","MovilGZ",23,"Perú"
"369","29/10/19","CALL CENTER",2,"Perú"
"370","03/09/19","MovilGZ",20,"Perú"
"371","01/04/19","MovilGZ",19,"Perú"
"372","18/12/19","UB",27,"Perú"
"373","28/03/19","UB",52,"Perú"
"374","06/09/19","PortalGZ",5,"Perú"
"375","20/12/19","MovilGZ",10,"Perú"
"376","17/05/19","PortalGZ",10,"Perú"
"377","17/04/19","CALL CENTER",5,"Perú"
"378","13/12/19","MovilGZ",12,"Perú"
"379","07/02/19","PortalGZ",1,"Perú"
"380","25/01/19","MovilSE",327,"Perú"
"381","16/09/19","UB",31,"Perú"
"382","10/01/20","UB",2,"Perú"
"383","05/03/19","MovilGZ",19,"Perú"
"384","15/10/19","PortalGZ",2,"Perú"
"385","06/03/19","CALL CENTER",4,"Perú"
"386","06/02/19","PortalGZ",3,"Perú"
"387","07/03/19","PortalGZ",1,"Perú"
"388","06/12/19","UB",25,"Perú"
"389","05/10/19","UB",4,"Perú"
"390","17/01/20","UB",4,"Perú"
"391","07/09/19","MovilSE",75,"Perú"
"392","21/01/19","MovilSE",594,"Perú"
"393","17/11/19","MovilSE",27,"Perú"
"394","05/07/19","MovilGZ",20,"Perú"
"395","22/08/19","CALL CENTER",1,"Perú"
"396","04/03/19","MovilSE",449,"Perú"
"397","11/12/19","MovilSE",381,"Perú"
"398","31/12/19","MovilSE",28,"Perú"
"399","16/04/19","UB",56,"Perú"
"400","11/08/19","CALL CENTER",1,"Perú"
"401","26/01/19","PortalGZ",1,"Perú"
"402","19/06/19","CALL CENTER",1,"Perú"
"403","01/07/19","UB",22,"Perú"
"404","01/02/19","CALL CENTER",2,"Perú"
"405","15/08/19","CALL CENTER",1,"Perú"
"406","05/07/19","PortalGZ",3,"Perú"
"407","26/03/19","PortalGZ",2,"Perú"
"408","30/01/19","PortalGZ",6,"Perú"
"409","04/12/19","MovilGZ",24,"Perú"
"410","16/01/19","MovilSE",488,"Perú"
"411","12/01/19","UB",13,"Perú"
"412","30/11/19","UB",8,"Perú"
"413","09/12/19","MovilSE",530,"Perú"
"414","06/05/19","MovilSE",552,"Perú"
"415","31/12/19","UB",3,"Perú"
"416","15/05/19","UB",44,"Perú"
"417","24/02/19","MovilSE",29,"Perú"
"418","06/03/19","MovilSE",320,"Perú"
"419","06/02/19","UB",53,"Perú"
"420","04/05/19","MovilSE",60,"Perú"
"421","15/02/19","CALL CENTER",1,"Perú"
"422","27/02/19","MovilSE",477,"Perú"
"423","10/09/19","UB",27,"Perú"
"424","16/01/19","UB",56,"Perú"
"425","13/10/19","UB",3,"Perú"
"426","18/06/19","MovilGZ",13,"Perú"
"427","29/03/19","MovilGZ",10,"Perú"
"428","12/01/19","PortalGZ",6,"Perú"
"429","29/05/19","MovilGZ",27,"Perú"
"430","16/09/19","MovilSE",631,"Perú"
"431","14/01/20","UB",2,"Perú"
"432","08/01/19","MovilSE",434,"Perú"
"433","16/03/19","MovilSE",63,"Perú"
"434","11/09/19","MovilSE",524,"Perú"
"435","23/01/20","MovilSE",3,"Perú"
"436","30/07/19","PortalGZ",11,"Perú"
"437","20/10/19","UB",3,"Perú"
"438","15/07/19","PortalGZ",3,"Perú"
"439","24/01/19","MovilGZ",12,"Perú"
"440","08/01/20","MovilSE",13,"Perú"
"441","05/04/19","MovilGZ",21,"Perú"
"442","09/02/19","UB",19,"Perú"
"443","30/07/19","UB",40,"Perú"
"444","16/08/19","CALL CENTER",1,"Perú"
"445","02/05/19","UB",43,"Perú"
"446","31/01/19","PortalGZ",3,"Perú"
"447","22/08/19","MovilSE",587,"Perú"
"448","16/06/19","MovilSE",27,"Perú"
"449","27/10/19","UB",3,"Perú"
"450","19/01/19","UB",16,"Perú"
"451","02/11/19","UB",3,"Perú"
"452","19/06/19","MovilSE",606,"Perú"
"453","12/02/19","UB",55,"Perú"
"454","23/04/19","MovilGZ",29,"Perú"
"455","20/04/19","MovilSE",61,"Perú"
"456","11/06/19","MovilGZ",24,"Perú"
"457","21/10/19","CALL CENTER",3,"Perú"
"458","11/11/19","MovilGZ",20,"Perú"
"459","15/01/19","PortalGZ",2,"Perú"
"460","22/05/19","UB",43,"Perú"
"461","20/06/19","MovilGZ",21,"Perú"
"462","12/06/19","MovilGZ",18,"Perú"
"463","29/11/19","UB",34,"Perú"
"464","15/11/19","CALL CENTER",2,"Perú"
"465","21/12/19","MovilSE",61,"Perú"
"466","02/12/19","MovilGZ",17,"Perú"
"467","28/05/19","MovilGZ",32,"Perú"
"468","20/09/19","MovilSE",347,"Perú"
"469","20/08/19","CALL CENTER",3,"Perú"
"470","25/03/19","PortalGZ",3,"Perú"
"471","14/12/19","MovilSE",29,"Perú"
"472","13/01/19","MovilSE",34,"Perú"
"473","26/09/19","MovilGZ",26,"Perú"
"474","31/01/19","MovilSE",461,"Perú"
"475","27/11/19","MovilSE",347,"Perú"
"476","15/08/19","UB",25,"Perú"
"477","15/11/19","PortalGZ",5,"Perú"
"478","23/03/19","UB",11,"Perú"
"479","23/04/19","PortalGZ",13,"Perú"
"480","29/10/19","UB",28,"Perú"
"481","03/12/19","MovilGZ",16,"Perú"
"482","08/09/19","MovilSE",27,"Perú"
"483","08/03/19","PortalGZ",1,"Perú"
"484","11/05/19","MovilSE",56,"Perú"
"485","20/12/19","MovilSE",210,"Perú"
"486","25/06/19","PortalGZ",3,"Perú"
"487","03/01/19","MovilSE",334,"Perú"
"488","13/10/19","MovilSE",37,"Perú"
"489","23/11/19","MovilGZ",3,"Perú"
"490","17/01/20","MovilSE",5,"Perú"
"491","23/08/19","UB",29,"Perú"
"492","07/01/19","MovilGZ",7,"Perú"
"493","25/07/19","MovilSE",310,"Perú"
"494","15/01/20","UB",5,"Perú"
"495","11/08/19","MovilSE",29,"Perú"
"496","13/04/19","MovilSE",45,"Perú"
"497","17/06/19","UB",47,"Perú"
"498","28/11/19","PortalGZ",2,"Perú"
"499","21/05/19","UB",50,"Perú"
"500","08/08/19","UB",14,"Perú"
"501","27/09/19","MovilSE",225,"Perú"
"502","05/09/19","UB",35,"Perú"
"503","08/02/19","UB",40,"Perú"
"504","28/10/19","MovilSE",652,"Perú"
"505","26/07/19","PortalGZ",2,"Perú"
"506","15/12/19","MovilGZ",1,"Perú"
"507","02/11/19","CALL CENTER",2,"Perú"
"508","14/01/19","UB",42,"Perú"
"509","27/08/19","UB",30,"Perú"
"510","10/09/19","CALL CENTER",3,"Perú"
"511","27/06/19","CALL CENTER",2,"Perú"
"512","31/10/19","UB",16,"Perú"
"513","10/06/19","UB",48,"Perú"
"514","12/07/19","PortalGZ",3,"Perú"
"515","06/09/19","MovilSE",286,"Perú"
"516","23/12/19","UB",27,"Perú"
"517","13/03/19","PortalGZ",5,"Perú"
"518","18/04/19","CALL CENTER",2,"Perú"
"519","24/07/19","MovilGZ",19,"Perú"
"520","21/01/19","PortalGZ",3,"Perú"
"521","26/12/19","PortalGZ",3,"Perú"
"522","15/03/19","UB",55,"Perú"
"523","26/04/19","MovilSE",567,"Perú"
"524","08/02/19","MovilSE",434,"Perú"
"525","11/04/19","CALL CENTER",3,"Perú"
"526","03/04/19","UB",64,"Perú"
"527","05/05/19","MovilSE",42,"Perú"
"528","07/02/19","MovilGZ",16,"Perú"
"529","22/06/19","MovilSE",71,"Perú"
"530","04/02/19","CALL CENTER",2,"Perú"
"531","18/01/19","MovilSE",466,"Perú"
"532","18/11/19","PortalGZ",2,"Perú"
"533","14/01/19","PortalGZ",5,"Perú"
"534","09/04/19","MovilSE",545,"Perú"
"535","31/10/19","CALL CENTER",1,"Perú"
"536","30/07/19","MovilSE",577,"Perú"
"537","22/01/19","MovilGZ",32,"Perú"
"538","05/09/19","PortalGZ",1,"Perú"
"539","11/01/19","MovilGZ",5,"Perú"
"540","04/10/19","MovilGZ",19,"Perú"
"541","04/02/19","PortalGZ",5,"Perú"
"542","23/12/19","PortalGZ",3,"Perú"
"543","25/03/19","UB",75,"Perú"
"544","15/05/19","PortalGZ",2,"Perú"
"545","05/02/19","MovilSE",552,"Perú"
"546","27/10/19","MovilSE",29,"Perú"
"547","19/01/19","MovilSE",60,"Perú"
"548","26/07/19","UB",18,"Perú"
"549","22/10/19","CALL CENTER",2,"Perú"
"550","28/08/19","MovilGZ",21,"Perú"
"551","09/10/19","PortalGZ",2,"Perú"
"552","06/02/19","CALL CENTER",1,"Perú"
"553","08/01/19","PortalGZ",1,"Perú"
"554","13/02/19","PortalGZ",5,"Perú"
"555","07/10/19","MovilSE",625,"Perú"
"556","18/05/19","UB",7,"Perú"
"557","02/05/19","PortalGZ",16,"Perú"
"558","27/02/19","UB",64,"Perú"
"559","28/09/19","MovilSE",51,"Perú"
"560","09/04/19","CALL CENTER",3,"Perú"
"561","01/03/19","MovilSE",397,"Perú"
"562","14/11/19","MovilSE",421,"Perú"
"563","14/04/19","MovilSE",27,"Perú"
"564","28/11/19","MovilSE",305,"Perú"
"565","15/07/19","CALL CENTER",2,"Perú"
"566","30/11/19","MovilSE",71,"Perú"
"567","09/12/19","UB",39,"Perú"
"568","21/09/19","MovilGZ",1,"Perú"
"569","04/02/19","UB",42,"Perú"
"570","01/10/19","MovilGZ",25,"Perú"
"571","15/08/19","MovilGZ",13,"Perú"
"572","23/10/19","MovilSE",468,"Perú"
"573","07/06/19","PortalGZ",3,"Perú"
"574","05/08/19","MovilSE",739,"Perú"
"575","10/10/19","PortalGZ",3,"Perú"
"576","30/11/19","CALL CENTER",1,"Perú"
"577","14/09/19","MovilSE",69,"Perú"
"578","13/03/19","MovilSE",588,"Perú"
"579","22/08/19","MovilGZ",16,"Perú"
"580","30/04/19","MovilGZ",19,"Perú"
"581","09/01/19","MovilGZ",8,"Perú"
"582","21/06/19","MovilGZ",19,"Perú"
"583","19/12/19","MovilGZ",17,"Perú"
"584","31/10/19","PortalGZ",1,"Perú"
"585","26/06/19","UB",29,"Perú"
"586","18/05/19","MovilSE",61,"Perú"
"587","29/01/19","MovilSE",511,"Perú"
"588","14/09/19","UB",8,"Perú"
"589","09/07/19","MovilGZ",24,"Perú"
"590","02/09/19","PortalGZ",5,"Perú"
"591","17/06/19","PortalGZ",5,"Perú"
"592","25/04/19","MovilSE",603,"Perú"
"593","18/12/19","MovilGZ",16,"Perú"
"594","07/11/19","CALL CENTER",1,"Perú"
"595","24/01/19","UB",40,"Perú"
"596","20/03/19","MovilSE",426,"Perú"
"597","07/07/19","UB",2,"Perú"
"598","09/06/19","MovilSE",45,"Perú"
"599","31/03/19","UB",8,"Perú"
"600","01/06/19","MovilSE",125,"Perú"
"601","02/06/19","UB",3,"Perú"
"602","06/12/19","MovilGZ",13,"Perú"
"603","20/02/19","MovilGZ",24,"Perú"
"604","01/01/20","MovilSE",2,"Perú"
"605","07/05/19","PortalGZ",3,"Perú"
"606","29/04/19","MovilSE",757,"Perú"
